symbol,cik,company_name,form,filing_date,report_date,accession_number,primary_doc_name
AMD,0000002488,ADVANCED MICRO DEVICES INC,10-Q,2024-10-30,2024-09-28,0000002488-24-000163,amd-20240928.htm
AMD,0000002488,ADVANCED MICRO DEVICES INC,10-K,2025-02-05,2024-12-28,0000002488-25-000012,amd-20241228.htm
AMD,0000002488,ADVANCED MICRO DEVICES INC,10-Q,2025-05-07,2025-03-29,0000002488-25-000047,amd-20250329.htm
AMD,0000002488,ADVANCED MICRO DEVICES INC,10-Q,2025-08-06,2025-06-28,0000002488-25-000108,amd-20250628.htm
AMD,0000002488,ADVANCED MICRO DEVICES INC,10-Q,2025-11-05,2025-09-27,0000002488-25-000166,amd-20250927.htm
AMD,0000002488,ADVANCED MICRO DEVICES INC,10-K,2026-02-04,2025-12-27,0000002488-26-000018,amd-20251227.htm
AMD,0000002488,ADVANCED MICRO DEVICES INC,10-Q,2026-05-06,2026-03-28,0000002488-26-000076,amd-20260328.htm
AMD,0000002488,ADVANCED MICRO DEVICES INC,10-Q,2026-08-05,2026-06-27,0000002488-26-000123,amd-20260627.htm
INTC,0000050863,INTEL CORP,10-Q,2024-11-01,2024-09-28,0000050863-24-000149,intc-20240928.htm
INTC,0000050863,INTEL CORP,10-K,2025-01-31,2024-12-28,0000050863-25-000009,intc-20241228.htm
INTC,0000050863,INTEL CORP,10-Q,2025-04-25,2025-03-29,0000050863-25-000074,intc-20250329.htm
INTC,0000050863,INTEL CORP,10-Q,2025-07-24,2025-06-28,0000050863-25-000109,intc-20250628.htm
INTC,0000050863,INTEL CORP,10-Q,2025-11-06,2025-09-27,0000050863-25-000179,intc-20250927.htm
INTC,0000050863,INTEL CORP,10-K,2026-01-23,2025-12-27,0000050863-26-000011,intc-20251227.htm
INTC,0000050863,INTEL CORP,10-Q,2026-04-24,2026-03-28,0000050863-26-000079,intc-20260328.htm
INTC,0000050863,INTEL CORP,10-Q,2026-07-24,2026-06-27,0000050863-26-000157,intc-20260627.htm
MU,0000723125,MICRON TECHNOLOGY INC,10-K,2024-10-04,2024-08-29,0000723125-24-000027,mu-20240829.htm
MU,0000723125,MICRON TECHNOLOGY INC,10-Q,2024-12-19,2024-11-28,0000723125-24-000047,mu-20241128.htm
MU,0000723125,MICRON TECHNOLOGY INC,10-Q,2025-03-21,2025-02-27,0000723125-25-000009,mu-20250227.htm
MU,0000723125,MICRON TECHNOLOGY INC,10-Q,2025-06-26,2025-05-29,0000723125-25-000021,mu-20250529.htm
MU,0000723125,MICRON TECHNOLOGY INC,10-K,2025-10-03,2025-08-28,0000723125-25-000028,mu-20250828.htm
MU,0000723125,MICRON TECHNOLOGY INC,10-Q,2025-12-18,2025-11-27,0000723125-25-000046,mu-20251127.htm
MU,0000723125,MICRON TECHNOLOGY INC,10-Q,2026-03-19,2026-02-26,0000723125-26-000006,mu-20260226.htm
MU,0000723125,MICRON TECHNOLOGY INC,10-Q,2026-06-25,2026-05-28,0000723125-26-000015,mu-20260528.htm
NVDA,0001045810,NVIDIA CORP,10-Q,2024-08-28,2024-07-28,0001045810-24-000264,nvda-20240728.htm
NVDA,0001045810,NVIDIA CORP,10-Q,2024-11-20,2024-10-27,0001045810-24-000316,nvda-20241027.htm
NVDA,0001045810,NVIDIA CORP,10-K,2025-02-26,2025-01-26,0001045810-25-000023,nvda-20250126.htm
NVDA,0001045810,NVIDIA CORP,10-Q,2025-05-28,2025-04-27,0001045810-25-000116,nvda-20250427.htm
NVDA,0001045810,NVIDIA CORP,10-Q,2025-08-27,2025-07-27,0001045810-25-000209,nvda-20250727.htm
NVDA,0001045810,NVIDIA CORP,10-Q,2025-11-19,2025-10-26,0001045810-25-000230,nvda-20251026.htm
NVDA,0001045810,NVIDIA CORP,10-K,2026-02-25,2026-01-25,0001045810-26-000021,nvda-20260125.htm
NVDA,0001045810,NVIDIA CORP,10-Q,2026-05-20,2026-04-26,0001045810-26-000052,nvda-20260426.htm
QCOM,0000804328,QUALCOMM INC/DE,10-K,2024-11-06,2024-09-29,0000804328-24-000075,qcom-20240929.htm
QCOM,0000804328,QUALCOMM INC/DE,10-Q,2025-02-05,2024-12-29,0000804328-25-000011,qcom-20241229.htm
QCOM,0000804328,QUALCOMM INC/DE,10-Q,2025-04-30,2025-03-30,0000804328-25-000031,qcom-20250330.htm
QCOM,0000804328,QUALCOMM INC/DE,10-Q,2025-07-30,2025-06-29,0000804328-25-000045,qcom-20250629.htm
QCOM,0000804328,QUALCOMM INC/DE,10-K,2025-11-05,2025-09-28,0000804328-25-000085,qcom-20250928.htm
QCOM,0000804328,QUALCOMM INC/DE,10-Q,2026-02-04,2025-12-28,0000804328-26-000017,qcom-20251228.htm
QCOM,0000804328,QUALCOMM INC/DE,10-Q,2026-04-29,2026-03-29,0000804328-26-000061,qcom-20260329.htm
QCOM,0000804328,QUALCOMM INC/DE,10-Q,2026-07-29,2026-06-28,0000804328-26-000086,qcom-20260628.htm
