symbol,horizon,events_count,median_abs_volatility_pct,mean_abs_volatility_pct,median_return_pct,mean_return_pct,up_count,down_count,win_rate_pct,max_gain_pct,max_loss_pct
AMD,+1D,8,6.73,8.82,-6.34,-3.1,3,5,37.5,18.61,-17.31
AMD,+3D,8,8.39,10.66,-6.7,-2.55,2,6,25.0,28.13,-14.67
AMD,+5D,8,10.16,10.97,-6.02,-0.82,3,5,37.5,26.19,-14.79
INTC,+1D,8,7.26,9.07,-3.32,-1.22,2,6,25.0,23.6,-17.03
INTC,+3D,8,10.16,11.13,-4.47,-2.36,3,5,37.5,26.56,-19.13
INTC,+5D,8,9.75,13.47,-5.09,2.38,2,6,25.0,41.48,-13.41
MU,+1D,8,5.91,7.2,-0.28,-0.04,4,4,50.0,15.74,-16.18
MU,+3D,8,8.9,8.95,-1.16,-0.5,4,4,50.0,22.65,-13.65
MU,+5D,8,8.12,10.49,-2.94,-1.55,3,5,37.5,27.12,-17.25
NVDA,+1D,8,1.36,1.59,0.6,0.72,4,4,50.0,3.67,-2.1
NVDA,+3D,8,2.92,3.51,-2.92,-3.51,0,8,0.0,-0.27,-8.12
NVDA,+5D,8,6.38,6.88,-6.38,-5.83,1,7,12.5,4.22,-17.22
QCOM,+1D,8,2.92,2.8,1.4,1.23,6,2,75.0,4.27,-4.42
QCOM,+3D,8,5.75,6.82,-3.88,-1.56,2,6,25.0,18.01,-9.38
QCOM,+5D,8,3.13,5.79,-1.06,0.47,2,6,25.0,24.37,-9.48
